"image_path","ocr_path","character_count","line_count","status"
"yuanbao/BHYY-GEO-DX-001_yuanbao_B01_R0_20260825.jpg","yuanbao/BHYY-GEO-DX-001_yuanbao_B01_R0_20260825.txt","663","System.Object[]","completed"
"yuanbao/BHYY-GEO-DX-001_yuanbao_B02_R0_20260825.jpg","yuanbao/BHYY-GEO-DX-001_yuanbao_B02_R0_20260825.txt","546","System.Object[]","completed"
"yuanbao/BHYY-GEO-DX-001_yuanbao_B03_R0_20260825.jpg","yuanbao/BHYY-GEO-DX-001_yuanbao_B03_R0_20260825.txt","1062","System.Object[]","completed"
"yuanbao/BHYY-GEO-DX-001_yuanbao_B04_R0_20260825.jpg","yuanbao/BHYY-GEO-DX-001_yuanbao_B04_R0_20260825.txt","2027","System.Object[]","completed"
"yuanbao/BHYY-GEO-DX-001_yuanbao_Q01_R1_20260824.jpg","yuanbao/BHYY-GEO-DX-001_yuanbao_Q01_R1_20260824.txt","2134","System.Object[]","completed"
"yuanbao/BHYY-GEO-DX-001_yuanbao_Q01_R2_20260825.jpg","yuanbao/BHYY-GEO-DX-001_yuanbao_Q01_R2_20260825.txt","1847","System.Object[]","completed"
"yuanbao/BHYY-GEO-DX-001_yuanbao_Q01_R3_20260825.jpg","yuanbao/BHYY-GEO-DX-001_yuanbao_Q01_R3_20260825.txt","1965","System.Object[]","completed"
"yuanbao/BHYY-GEO-DX-001_yuanbao_Q01_R4_20260825.jpg","yuanbao/BHYY-GEO-DX-001_yuanbao_Q01_R4_20260825.txt","1380","System.Object[]","completed"
"yuanbao/BHYY-GEO-DX-001_yuanbao_Q01_R5_20260825.jpg","yuanbao/BHYY-GEO-DX-001_yuanbao_Q01_R5_20260825.txt","2108","System.Object[]","completed"
"yuanbao/BHYY-GEO-DX-001_yuanbao_Q02_R1_20260824.jpg","yuanbao/BHYY-GEO-DX-001_yuanbao_Q02_R1_20260824.txt","2491","System.Object[]","completed"
"yuanbao/BHYY-GEO-DX-001_yuanbao_Q02_R2_20260825.jpg","yuanbao/BHYY-GEO-DX-001_yuanbao_Q02_R2_20260825.txt","2234","System.Object[]","completed"
"yuanbao/BHYY-GEO-DX-001_yuanbao_Q02_R3_20260825.jpg","yuanbao/BHYY-GEO-DX-001_yuanbao_Q02_R3_20260825.txt","2481","System.Object[]","completed"
"yuanbao/BHYY-GEO-DX-001_yuanbao_Q02_R4_20260825.jpg","yuanbao/BHYY-GEO-DX-001_yuanbao_Q02_R4_20260825.txt","2357","System.Object[]","completed"
"yuanbao/BHYY-GEO-DX-001_yuanbao_Q02_R5_20260825.jpg","yuanbao/BHYY-GEO-DX-001_yuanbao_Q02_R5_20260825.txt","2933","System.Object[]","completed"
"yuanbao/BHYY-GEO-DX-001_yuanbao_Q03_R1_20260824.jpg","yuanbao/BHYY-GEO-DX-001_yuanbao_Q03_R1_20260824.txt","2420","System.Object[]","completed"
"yuanbao/BHYY-GEO-DX-001_yuanbao_Q03_R2_20260825.jpg","yuanbao/BHYY-GEO-DX-001_yuanbao_Q03_R2_20260825.txt","1989","System.Object[]","completed"
"yuanbao/BHYY-GEO-DX-001_yuanbao_Q03_R3_20260825.jpg","yuanbao/BHYY-GEO-DX-001_yuanbao_Q03_R3_20260825.txt","1809","System.Object[]","completed"
"yuanbao/BHYY-GEO-DX-001_yuanbao_Q03_R4_20260825.jpg","yuanbao/BHYY-GEO-DX-001_yuanbao_Q03_R4_20260825.txt","2404","System.Object[]","completed"
"yuanbao/BHYY-GEO-DX-001_yuanbao_Q03_R5_20260825.jpg","yuanbao/BHYY-GEO-DX-001_yuanbao_Q03_R5_20260825.txt","2146","System.Object[]","completed"
"yuanbao/BHYY-GEO-DX-001_yuanbao_Q04_R1_20260824.jpg","yuanbao/BHYY-GEO-DX-001_yuanbao_Q04_R1_20260824.txt","2779","System.Object[]","completed"
"yuanbao/BHYY-GEO-DX-001_yuanbao_Q04_R2_20260825.jpg","yuanbao/BHYY-GEO-DX-001_yuanbao_Q04_R2_20260825.txt","2911","System.Object[]","completed"
"yuanbao/BHYY-GEO-DX-001_yuanbao_Q04_R3_20260825.jpg","yuanbao/BHYY-GEO-DX-001_yuanbao_Q04_R3_20260825.txt","2567","System.Object[]","completed"
"yuanbao/BHYY-GEO-DX-001_yuanbao_Q04_R4_20260825.jpg","yuanbao/BHYY-GEO-DX-001_yuanbao_Q04_R4_20260825.txt","2235","System.Object[]","completed"
"yuanbao/BHYY-GEO-DX-001_yuanbao_Q04_R5_20260825.jpg","yuanbao/BHYY-GEO-DX-001_yuanbao_Q04_R5_20260825.txt","2889","System.Object[]","completed"
"yuanbao/BHYY-GEO-DX-001_yuanbao_Q05_R1_20260824.jpg","yuanbao/BHYY-GEO-DX-001_yuanbao_Q05_R1_20260824.txt","1891","System.Object[]","completed"
"yuanbao/BHYY-GEO-DX-001_yuanbao_Q05_R2_20260825.jpg","yuanbao/BHYY-GEO-DX-001_yuanbao_Q05_R2_20260825.txt","2341","System.Object[]","completed"
"yuanbao/BHYY-GEO-DX-001_yuanbao_Q05_R3_20260825.jpg","yuanbao/BHYY-GEO-DX-001_yuanbao_Q05_R3_20260825.txt","1715","System.Object[]","completed"
"yuanbao/BHYY-GEO-DX-001_yuanbao_Q05_R4_20260825.jpg","yuanbao/BHYY-GEO-DX-001_yuanbao_Q05_R4_20260825.txt","2318","System.Object[]","completed"
"yuanbao/BHYY-GEO-DX-001_yuanbao_Q05_R5_20260825.jpg","yuanbao/BHYY-GEO-DX-001_yuanbao_Q05_R5_20260825.txt","2090","System.Object[]","completed"
"yuanbao/BHYY-GEO-DX-001_yuanbao_S01_R0_20260825.jpg","yuanbao/BHYY-GEO-DX-001_yuanbao_S01_R0_20260825.txt","1746","System.Object[]","completed"
"yuanbao/BHYY-GEO-DX-001_yuanbao_S02_R0_20260825.jpg","yuanbao/BHYY-GEO-DX-001_yuanbao_S02_R0_20260825.txt","943","System.Object[]","completed"
"yuanbao/BHYY-GEO-DX-001_yuanbao_S03_R0_20260825.jpg","yuanbao/BHYY-GEO-DX-001_yuanbao_S03_R0_20260825.txt","221","System.Object[]","completed"
"yuanbao/BHYY-GEO-DX-001_yuanbao_S04_R0_20260825.jpg","yuanbao/BHYY-GEO-DX-001_yuanbao_S04_R0_20260825.txt","1346","System.Object[]","completed"
